,Ogrid,Name,Well Count,Inactive Wells,5.9 Compliance,Property,Well Name,Lease Type,ULSTR,OCD Unit Letter,API,Well Type,Last Prod/Inj,Inactive Additional Bond Due,Bonding Depth,Required Bond Amount,Bond Required Now,Covered By Blanket TA Bond,Bond In Place,In Violation
27,372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86.0,2.0,Yes,326073.0,CROCKETT STATE #002H,S,H-20-21S-33E,H,30-025-41080,O,01/2020,02/2022,11778.0,48556.0,,,0.0,
28,372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86.0,2.0,Yes,322717.0,DAGGER 5 STATE COM #001,S,K-05-22S-33E,K,30-025-37630,G,01/2020,02/2022,14874.0,54748.0,,,0.0,
29,372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86.0,2.0,Yes,325950.0,DAGGER LAKE 5 STATE #001,S,O-05-22S-33E,O,30-025-31653,O,07/1995,08/1997,8810.0,42620.0,Y,Y,13810.0,
30,372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86.0,2.0,Yes,,DAGGER LAKE 5 STATE #801H,S,L-05-22S-33E,L,30-025-46289,O,06/2020,07/2022,12036.0,49072.0,,,0.0,
31,372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86.0,2.0,Yes,319599.0,DAGGER LAKE 5 STATE COM #501H,S,L-05-22S-33E,L,30-025-45579,O,06/2020,07/2022,19157.0,63314.0,,,0.0,
32,372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86.0,2.0,Yes,,DAGGER LAKE 5 STATE COM #503H,S,L-05-22S-33E,L,30-025-45703,O,06/2020,07/2022,19100.0,63200.0,,,0.0,
33,372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86.0,2.0,Yes,,DAGGER LAKE 5 STATE COM #505H,S,K-05-22S-33E,K,30-025-46290,O,,,19270.0,63540.0,,,0.0,
34,372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86.0,2.0,Yes,,DAGGER LAKE 5 STATE COM #507H,S,K-05-22S-33E,K,30-025-46291,O,,,19270.0,63540.0,,,0.0,
35,372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86.0,2.0,Yes,,DAGGER LAKE 5 STATE COM #551H,S,L-05-22S-33E,L,30-025-46416,O,06/2020,07/2022,19000.0,63000.0,,,0.0,
36,372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86.0,2.0,Yes,,DAGGER LAKE 5 STATE COM #553H,S,K-05-22S-33E,K,30-025-46881,O,,,19060.0,63120.0,,,0.0,
37,372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86.0,2.0,Yes,,DAGGER LAKE 5 STATE COM #601H,S,L-05-22S-33E,L,30-025-45853,O,06/2020,07/2022,21875.0,68750.0,,,0.0,
38,372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86.0,2.0,Yes,,DAGGER LAKE 5 STATE COM #603H,S,L-05-22S-33E,L,30-025-45854,O,06/2020,07/2022,21875.0,68750.0,,,0.0,
39,372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86.0,2.0,Yes,,DAGGER LAKE 5 STATE COM #605H,S,K-05-22S-33E,K,30-025-46292,O,,,19270.0,63540.0,,,0.0,
40,372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86.0,2.0,Yes,,DAGGER LAKE 5 STATE COM #607H,S,K-05-22S-33E,K,30-025-46293,O,,,19270.0,63540.0,,,0.0,
41,372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86.0,2.0,Yes,,DAGGER LAKE 5 STATE COM #803H,S,K-05-22S-33E,K,30-025-46437,O,,,21300.0,67600.0,,,0.0,
42,372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86.0,2.0,Yes,319600.0,DAGGER LAKE 6 STATE #002,S,G-06-22S-33E,G,30-025-27573,O,06/2017,07/2019,15250.0,55500.0,Y,Y,0.0,
43,372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86.0,2.0,Yes,319601.0,DAGGER STATE COM #504H,S,H-30-21S-33E,H,30-025-43302,O,06/2020,07/2022,10922.0,46844.0,,,0.0,
44,372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86.0,2.0,Yes,,DAGGER STATE COM #505H,S,H-30-21S-33E,H,30-025-43627,O,06/2020,07/2022,11038.0,47076.0,,,0.0,
45,372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86.0,2.0,Yes,,DAGGER STATE COM #506H,S,G-30-21S-33E,G,30-025-43564,O,06/2020,07/2022,10878.0,46756.0,,,0.0,
46,372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86.0,2.0,Yes,,DAGGER STATE COM #508H,S,G-30-21S-33E,G,30-025-43629,O,06/2020,07/2022,10986.0,46972.0,,,0.0,
47,372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86.0,2.0,Yes,,DAGGER STATE COM #552H,S,G-30-21S-33E,G,30-025-45934,O,06/2020,07/2022,18600.0,62200.0,,,0.0,
48,372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86.0,2.0,Yes,,DAGGER STATE COM #604H,S,H-30-21S-33E,H,30-025-44407,O,03/2020,04/2022,11838.0,48676.0,,,0.0,
49,372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86.0,2.0,Yes,,DAGGER STATE COM #701H,S,H-30-21S-33E,H,30-025-43565,O,06/2020,07/2022,11922.0,48844.0,,,0.0,
50,372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86.0,2.0,Yes,,DAGGER STATE COM #802H,S,G-30-21S-33E,G,30-025-45935,O,06/2020,07/2022,21300.0,67600.0,,,0.0,
51,372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86.0,2.0,Yes,325283.0,DAGGER STATE SWD #001,S,G-30-21S-33E,G,30-025-45815,S,06/2020,07/2022,17695.0,60390.0,,,0.0,
52,372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86.0,2.0,Yes,319602.0,DAGGER STATE UNIT #001,S,F-30-21S-33E,F,30-025-27222,O,06/2020,07/2022,15160.0,55320.0,,,0.0,
53,372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86.0,2.0,Yes,,DAGGER STATE UNIT #002H,S,P-31-21S-33E,P,30-025-41178,O,06/2020,07/2022,10944.0,46888.0,,,0.0,
54,372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86.0,2.0,Yes,,DAGGER STATE UNIT #003,S,K-19-21S-33E,K,30-025-36595,O,06/2020,07/2022,14683.0,54366.0,,,0.0,
55,372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86.0,2.0,Yes,319603.0,MERCHANT STATE UNIT #001,S,I-35-21S-33E,I,30-025-29991,O,06/2020,07/2022,16450.0,57900.0,,,0.0,
56,372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86.0,2.0,Yes,,MERCHANT STATE UNIT #301H,S,D-35-21S-33E,D,30-025-46695,O,,,20203.0,65406.0,,,0.0,
57,372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86.0,2.0,Yes,,MERCHANT STATE UNIT #302H,S,C-35-21S-33E,C,30-025-46701,O,,,22133.0,69266.0,,,0.0,
58,372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86.0,2.0,Yes,,MERCHANT STATE UNIT #501H,S,D-35-21S-33E,D,30-025-46696,O,,,20665.0,66330.0,,,0.0,
59,372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86.0,2.0,Yes,,MERCHANT STATE UNIT #503H,S,C-35-21S-33E,C,30-025-43909,O,06/2020,07/2022,10985.0,46970.0,,,0.0,
60,372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86.0,2.0,Yes,,MERCHANT STATE UNIT #504H,S,B-35-21S-33E,B,30-025-45267,O,06/2020,07/2022,21067.0,67134.0,,,0.0,
61,372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86.0,2.0,Yes,,MERCHANT STATE UNIT #505H,S,A-35-21S-33E,A,30-025-45268,O,06/2020,07/2022,20958.0,66916.0,,,0.0,
62,372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86.0,2.0,Yes,,MERCHANT STATE UNIT #506H,S,A-35-21S-33E,A,30-025-44896,O,,,21817.0,68634.0,,,0.0,
63,372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86.0,2.0,Yes,,MERCHANT STATE UNIT #506Y,S,A-35-21S-33E,A,30-025-45027,O,06/2020,07/2022,11044.0,47088.0,,,0.0,
64,372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86.0,2.0,Yes,,MERCHANT STATE UNIT #509H,S,D-35-21S-33E,D,30-025-46700,O,,,22318.0,69636.0,,,0.0,
65,372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86.0,2.0,Yes,,MERCHANT STATE UNIT #510H,S,C-35-21S-33E,C,30-025-46702,O,,,22132.0,69264.0,,,0.0,
66,372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86.0,2.0,Yes,,MERCHANT STATE UNIT #511H,S,C-35-21S-33E,C,30-025-46697,O,,,20840.0,66680.0,,,0.0,
67,372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86.0,2.0,Yes,,MERCHANT STATE UNIT #512H,S,A-35-21S-33E,A,30-025-45447,O,06/2020,07/2022,20675.0,66350.0,,,0.0,
68,372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86.0,2.0,Yes,,MERCHANT STATE UNIT #551H,S,D-35-21S-33E,D,30-025-46363,O,06/2020,07/2022,21785.0,68570.0,,,0.0,
69,372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86.0,2.0,Yes,,MERCHANT STATE UNIT #552H,S,C-35-21S-33E,C,30-025-46703,O,,,22131.0,69262.0,,,0.0,
70,372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86.0,2.0,Yes,,MERCHANT STATE UNIT #553H,S,C-35-21S-36E,C,30-025-46698,O,,,21421.0,67842.0,,,0.0,
71,372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86.0,2.0,Yes,,MERCHANT STATE UNIT #554H,S,A-35-21S-33E,A,30-025-46662,O,,,21383.0,67766.0,,,0.0,
72,372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86.0,2.0,Yes,,MERCHANT STATE UNIT #601H,S,D-35-21S-33E,D,30-025-45084,O,06/2020,07/2022,12131.0,49262.0,,,0.0,
73,372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86.0,2.0,Yes,,MERCHANT STATE UNIT #602H,S,D-35-21S-33E,D,30-025-45448,O,06/2020,07/2022,11880.0,48760.0,,,0.0,
74,372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86.0,2.0,Yes,,MERCHANT STATE UNIT #603H,S,C-35-21S-33E,C,30-025-46704,O,,,22133.0,69266.0,,,0.0,
75,372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86.0,2.0,Yes,,MERCHANT STATE UNIT #604H,S,C-35-21S-33E,C,30-025-46699,O,,,22081.0,69162.0,,,0.0,
76,372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86.0,2.0,Yes,,MERCHANT STATE UNIT #604Y,S,C-35-21S-33E,C,30-025-47423,O,,,22081.0,69162.0,,,0.0,
77,372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86.0,2.0,Yes,,MERCHANT STATE UNIT #605H,S,A-35-21S-33E,A,30-025-46663,O,,,22110.0,69220.0,,,0.0,
78,372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86.0,2.0,Yes,,MERCHANT STATE UNIT #606H,S,A-35-21S-33E,A,30-025-46664,O,,,21872.0,68744.0,,,0.0,
79,372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86.0,2.0,Yes,319604.0,STATE LT 32 COM #001,S,K-32-21S-33E,K,30-025-27453,O,05/2020,06/2022,15140.0,55280.0,,,0.0,
80,372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86.0,2.0,Yes,319606.0,TOMAHAWK #001,S,3-31-21S-33E,L,30-025-33069,S,06/2020,07/2022,9100.0,43200.0,,,0.0,
81,372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86.0,2.0,Yes,319607.0,WOOL HEAD 20 STATE #003,S,M-20-21S-33E,M,30-025-42142,O,01/2020,02/2022,12805.0,50610.0,,,0.0,
82,372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86.0,2.0,Yes,325948.0,WOOL HEAD 20 STATE COM #507H,S,O-20-21S-33E,O,30-025-46468,O,06/2020,07/2022,19270.0,63540.0,,,0.0,
83,372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86.0,2.0,Yes,,WOOL HEAD 20 STATE COM #508H,S,O-20-21S-33E,O,30-025-46469,O,,,19270.0,63540.0,,,0.0,
84,372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86.0,2.0,Yes,,WOOL HEAD 20 STATE COM #509H,S,O-20-21S-33E,O,30-025-46470,O,06/2020,07/2022,19270.0,63540.0,,,0.0,
85,372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86.0,2.0,Yes,,WOOL HEAD 20 STATE COM #510H,S,P-20-21S-33E,P,30-025-46490,O,06/2020,07/2022,18147.0,61294.0,,,0.0,
86,372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86.0,2.0,Yes,,WOOL HEAD 20 STATE COM #511H,S,P-20-21S-33E,P,30-025-46491,O,06/2020,07/2022,18200.0,61400.0,,,0.0,
87,372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86.0,2.0,Yes,,WOOL HEAD 20 STATE COM #512H,S,P-20-21S-33E,P,30-025-46492,O,06/2020,07/2022,18200.0,61400.0,,,0.0,
88,372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86.0,2.0,Yes,,WOOL HEAD 20 STATE COM #553H,S,O-20-21S-33E,O,30-025-46471,O,06/2020,07/2022,19270.0,63540.0,,,0.0,
89,372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86.0,2.0,Yes,,WOOL HEAD 20 STATE COM #554H,S,P-20-21S-33E,P,30-025-46483,O,06/2020,07/2022,19000.0,63000.0,,,0.0,
90,372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86.0,2.0,Yes,,WOOL HEAD 20 STATE COM #605H,S,O-20-21S-33E,O,30-025-46266,O,06/2020,07/2022,19270.0,63540.0,,,0.0,
91,372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86.0,2.0,Yes,,WOOL HEAD 20 STATE COM #606H,S,O-20-21S-33E,O,30-025-46267,O,,,19270.0,63540.0,,,0.0,
92,372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86.0,2.0,Yes,,WOOL HEAD 20 STATE COM #607H,S,P-20-21S-33E,P,30-025-46329,O,,,21300.0,67600.0,,,0.0,
93,372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86.0,2.0,Yes,,WOOL HEAD 20 STATE COM #608H,S,P-20-21S-33E,P,30-025-46328,O,,,19270.0,63540.0,,,0.0,
94,372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86.0,2.0,Yes,,WOOL HEAD 20 STATE COM #703H,S,O-20-21S-33E,O,30-025-46268,O,,,21300.0,67600.0,,,0.0,
95,372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86.0,2.0,Yes,,WOOL HEAD 20 STATE COM #804H,S,P-20-21S-33E,P,30-025-46327,O,,,19270.0,63540.0,,,0.0,
96,371710,"ADVANCED WIRELESS COMMUNICATIONS, L.L.C.",166.0,6.0,No,327091.0,ATKINS #001,P,B-15-31N-13W,B,30-045-10815,G,01/2020,02/2022,6800.0,38600.0,,,0.0,
97,371710,"ADVANCED WIRELESS COMMUNICATIONS, L.L.C.",166.0,6.0,No,327092.0,BADGER 11 #001A,P,G-11-25N-02W,G,30-039-30561,G,01/2020,02/2022,6285.0,37570.0,,,0.0,
98,371710,"ADVANCED WIRELESS COMMUNICATIONS, L.L.C.",166.0,6.0,No,,BADGER 11 #001B,P,G-11-25N-02W,G,30-039-30562,G,06/2020,07/2022,6461.0,37922.0,,,0.0,
99,371710,"ADVANCED WIRELESS COMMUNICATIONS, L.L.C.",166.0,6.0,No,327094.0,BANSHEE #001,P,E-15-25N-02W,E,30-039-24204,O,06/2020,07/2022,8098.0,41196.0,,,0.0,
100,371710,"ADVANCED WIRELESS COMMUNICATIONS, L.L.C.",166.0,6.0,No,327096.0,BIG BUCKS #001,S,D-16-30N-12W,D,30-045-33123,G,06/2020,07/2022,2350.0,29700.0,,,0.0,
101,371710,"ADVANCED WIRELESS COMMUNICATIONS, L.L.C.",166.0,6.0,No,,BIG BUCKS #002,S,L-16-30N-12W,L,30-045-33124,G,06/2020,07/2022,2156.0,29312.0,,,0.0,
102,371710,"ADVANCED WIRELESS COMMUNICATIONS, L.L.C.",166.0,6.0,No,328230.0,BROWN #001,P,E-34-24N-02W,E,30-039-22808,G,06/2020,07/2022,3150.0,31300.0,,,0.0,
103,371710,"ADVANCED WIRELESS COMMUNICATIONS, L.L.C.",166.0,6.0,No,,BROWN #002,P,G-34-24N-02W,G,30-039-22809,G,06/2020,07/2022,3160.0,31320.0,,,0.0,
104,371710,"ADVANCED WIRELESS COMMUNICATIONS, L.L.C.",166.0,6.0,No,326892.0,CHARLES HUTTON COM #001,P,A-23-30N-12W,A,30-045-09393,G,05/2020,06/2022,6538.0,38076.0,,,0.0,
105,371710,"ADVANCED WIRELESS COMMUNICATIONS, L.L.C.",166.0,6.0,No,323030.0,CHILI AGY STATE #001,S,C-16-27N-12W,C,30-045-23452,G,06/2020,07/2022,6100.0,37200.0,,,0.0,
106,371710,"ADVANCED WIRELESS COMMUNICATIONS, L.L.C.",166.0,6.0,No,326891.0,CHUCKY #002,P,I-23-30N-12W,I,30-045-30455,G,06/2020,07/2022,1910.0,28820.0,,,0.0,
107,371710,"ADVANCED WIRELESS COMMUNICATIONS, L.L.C.",166.0,6.0,No,,CHUCKY #003,P,A-23-30N-12W,A,30-045-31120,G,06/2020,07/2022,1950.0,28900.0,,,0.0,
108,371710,"ADVANCED WIRELESS COMMUNICATIONS, L.L.C.",166.0,6.0,No,327098.0,COYOTE 9 #002,P,P-09-25N-02W,P,30-039-26789,G,06/2020,07/2022,6088.0,37176.0,,,0.0,
109,371710,"ADVANCED WIRELESS COMMUNICATIONS, L.L.C.",166.0,6.0,No,323031.0,D MILLER #001,S,M-21-30N-13W,M,30-045-09309,G,06/2020,07/2022,6063.0,37126.0,,,0.0,
110,371710,"ADVANCED WIRELESS COMMUNICATIONS, L.L.C.",166.0,6.0,No,328183.0,DAVIS #002,P,A-09-26N-02W,A,30-039-21798,G,06/2020,07/2022,6029.0,37058.0,,,0.0,
111,371710,"ADVANCED WIRELESS COMMUNICATIONS, L.L.C.",166.0,6.0,No,328184.0,DOUTHIT BROWNING COM #001J,P,O-05-23N-01W,O,30-039-21096,G,06/2020,07/2022,3234.0,31468.0,,,0.0,
112,371710,"ADVANCED WIRELESS COMMUNICATIONS, L.L.C.",166.0,6.0,No,327101.0,ELK COM 34 #001,P,K-34-26N-02W,K,30-039-25986,G,06/2020,07/2022,6327.0,37654.0,,,0.0,
113,371710,"ADVANCED WIRELESS COMMUNICATIONS, L.L.C.",166.0,6.0,No,328192.0,EMMA MCDANIEL #001,P,P-22-24N-01W,P,30-039-05350,G,06/2020,07/2022,2990.0,30980.0,,,0.0,
114,371710,"ADVANCED WIRELESS COMMUNICATIONS, L.L.C.",166.0,6.0,No,323033.0,FARMSWORTH GAS COM B #001,P,O-08-30N-13W,O,30-045-09636,G,06/2020,07/2022,6140.0,37280.0,,,0.0,
115,371710,"ADVANCED WIRELESS COMMUNICATIONS, L.L.C.",166.0,6.0,No,328200.0,H B BROWNING #003,P,3-04-23N-01W,C,30-039-05180,G,04/2020,05/2022,3150.0,31300.0,,,0.0,
116,371710,"ADVANCED WIRELESS COMMUNICATIONS, L.L.C.",166.0,6.0,No,327103.0,HUTCHINSON #001R,P,H-01-29N-13W,H,30-045-31266,G,06/2020,07/2022,1722.0,28444.0,,,0.0,
117,371710,"ADVANCED WIRELESS COMMUNICATIONS, L.L.C.",166.0,6.0,No,,HUTCHINSON #002,P,3-01-29N-13W,C,30-045-34241,G,,,1725.0,28450.0,,,0.0,
118,371710,"ADVANCED WIRELESS COMMUNICATIONS, L.L.C.",166.0,6.0,No,322946.0,JOHNSON #001,P,M-21-31N-13W,M,30-045-13141,G,06/2020,07/2022,6690.0,38380.0,,,0.0,
119,371710,"ADVANCED WIRELESS COMMUNICATIONS, L.L.C.",166.0,6.0,No,323036.0,KENJI #001,P,B-17-30N-13W,B,30-045-32974,G,06/2020,07/2022,3316.0,31632.0,,,0.0,
120,371710,"ADVANCED WIRELESS COMMUNICATIONS, L.L.C.",166.0,6.0,No,328207.0,LEESON #001,P,K-27-25N-03W,K,30-039-23720,O,06/2020,07/2022,8256.0,41512.0,,,0.0,
121,371710,"ADVANCED WIRELESS COMMUNICATIONS, L.L.C.",166.0,6.0,No,,LEESON #002,P,E-27-25N-03W,E,30-039-23880,O,06/2020,07/2022,8170.0,41340.0,,,0.0,
122,371710,"ADVANCED WIRELESS COMMUNICATIONS, L.L.C.",166.0,6.0,No,,LEESON #004,P,N-27-25N-03W,N,30-039-25065,O,06/2020,07/2022,8200.0,41400.0,,,0.0,
123,371710,"ADVANCED WIRELESS COMMUNICATIONS, L.L.C.",166.0,6.0,No,327105.0,MARAUDER #001,P,N-08-25N-02W,N,30-039-23932,G,06/2020,07/2022,8282.0,41564.0,,,0.0,
124,371710,"ADVANCED WIRELESS COMMUNICATIONS, L.L.C.",166.0,6.0,No,322947.0,MCCARTY #001,P,N-14-31N-13W,N,30-045-10686,G,06/2020,07/2022,6662.0,38324.0,,,0.0,
